image_id,org_id,org_name,kic,source_type,source_url,content_type,people_count,gender_coding,age_coding,dress_coding,contact,distance,angle,coding_orientation,setting,caption
VIS-2024-001,EIT-CLM-001,Climate-KIC,Climate-KIC,website,https://www.climate-kic.org/team,people,4,mixed,adult,professional,offer,social,eye_level,naturalistic,office,"Leadership team discussing strategy"
VIS-2024-002,EIT-CLM-001,Climate-KIC,Climate-KIC,website,https://www.climate-kic.org/about,technology,0,na,na,na,offer,impersonal,high,technological,outdoor,"Solar panel installation aerial view"
VIS-2024-003,EIT-CLM-002,Ecovative Design,Climate-KIC,website,https://www.ecovative.com/products,technology,0,na,na,na,offer,intimate,eye_level,naturalistic,lab,"Mycelium packaging material close-up"
VIS-2024-004,EIT-CLM-003,Climeworks,Climate-KIC,press,https://press.climeworks.com,technology,2,male,adult,industrial,offer,impersonal,low,technological,outdoor,"Mammoth plant with engineers"
VIS-2024-005,EIT-DIG-001,EIT Digital,EIT Digital,website,https://www.eitdigital.eu/accelerator,people,8,mixed,adult,casual,demand,social,eye_level,sensory,event,"Accelerator cohort group photo"
VIS-2024-006,EIT-DIG-001,EIT Digital,EIT Digital,social,twitter.com/EITDigital,people,1,female,adult,professional,demand,intimate,eye_level,sensory,studio,"Speaker portrait at conference"
VIS-2024-007,EIT-DIG-002,Bitmovin,EIT Digital,website,https://www.bitmovin.com/about,people,6,mixed,adult,casual,offer,social,eye_level,naturalistic,office,"Engineering team at work"
VIS-2024-008,EIT-DIG-003,Merantix,EIT Digital,website,https://www.merantix.com/team,people,3,mixed,adult,professional,offer,social,eye_level,sensory,office,"Founding team portrait"
VIS-2024-009,EIT-HLT-001,EIT Health,EIT Health,website,https://www.eithealth.eu/impact,people,2,female,adult,medical,offer,intimate,eye_level,naturalistic,hospital,"Doctor with patient"
VIS-2024-010,EIT-HLT-001,EIT Health,EIT Health,report,annual_report_2024.pdf,abstract,0,na,na,na,offer,na,na,abstract,na,"Impact infographic"
VIS-2024-011,EIT-HLT-002,Owkin,EIT Health,website,https://www.owkin.com/technology,technology,0,na,na,na,offer,intimate,eye_level,technological,digital,"AI interface visualization"
VIS-2024-012,EIT-HLT-003,Sophia Genetics,EIT Health,website,https://www.sophiagenetics.com,technology,1,female,adult,medical,offer,social,eye_level,technological,lab,"Genomics analysis interface"
VIS-2024-013,EIT-ENE-001,EIT InnoEnergy,EIT InnoEnergy,website,https://www.innoenergy.com/portfolio,people,12,mixed,adult,professional,offer,impersonal,eye_level,sensory,event,"Portfolio company showcase event"
VIS-2024-014,EIT-ENE-002,Northvolt,EIT InnoEnergy,press,https://northvolt.com/press,technology,5,mixed,adult,industrial,offer,impersonal,high,technological,factory,"Gigafactory production line"
VIS-2024-015,EIT-ENE-002,Northvolt,EIT InnoEnergy,social,linkedin.com/northvolt,people,1,male,adult,professional,demand,intimate,eye_level,sensory,studio,"CEO portrait"
VIS-2024-016,EIT-ENE-003,Skeleton Technologies,EIT InnoEnergy,website,https://www.skeletontech.com,technology,0,na,na,na,offer,intimate,eye_level,technological,studio,"Ultracapacitor product shot"
VIS-2024-017,EIT-FOD-001,EIT Food,EIT Food,website,https://www.eitfood.eu/network,people,6,mixed,mixed,casual,demand,social,eye_level,naturalistic,farm,"Farmers and researchers together"
VIS-2024-018,EIT-FOD-001,EIT Food,EIT Food,social,twitter.com/EITFood,nature,0,na,na,na,offer,impersonal,high,naturalistic,outdoor,"Sustainable agriculture aerial"
VIS-2024-019,EIT-FOD-002,Infarm,EIT Food,website,https://www.infarm.com/farms,technology,1,female,adult,casual,offer,social,eye_level,sensory,retail,"Vertical farm in supermarket"
VIS-2024-020,EIT-FOD-003,Mosa Meat,EIT Food,website,https://www.mosameat.com/science,technology,2,mixed,adult,medical,offer,intimate,eye_level,technological,lab,"Scientists with cell cultures"
VIS-2024-021,EIT-RAW-001,EIT RawMaterials,EIT RawMaterials,website,https://www.eitrawmaterials.eu,technology,3,male,adult,industrial,offer,impersonal,low,technological,outdoor,"Mining site overview"
VIS-2024-022,EIT-RAW-002,Minviro,EIT RawMaterials,website,https://www.minviro.com/platform,abstract,0,na,na,na,offer,na,na,abstract,digital,"Software interface screenshot"
VIS-2024-023,EIT-MAN-001,EIT Manufacturing,EIT Manufacturing,website,https://www.eitmanufacturing.eu,technology,2,mixed,adult,industrial,offer,social,eye_level,technological,factory,"Robotic assembly line"
VIS-2024-024,EIT-MOB-001,EIT Urban Mobility,EIT Urban Mobility,website,https://www.eiturbanmobility.eu,nature,8,mixed,adult,casual,offer,impersonal,high,naturalistic,outdoor,"City street with cyclists"
VIS-2024-025,EIT-CUL-001,EIT Culture & Creativity,EIT Culture & Creativity,website,https://www.eitculture.eu,people,5,mixed,adult,casual,demand,social,eye_level,sensory,studio,"Creative team brainstorming"
