document,topic
Huge applause for StreetcAir. A proposed solution for air pollution for babies. anothergreatidea from ClimateKIC climatejourney16,0
k4innovation EITeu EURAMET tudelft Shift2Rail_JU EFN Photonics21 mgracacarvalho susanasolisp negrescuvictor linagalvezmunoz brandobenifei Ivarsijabs Super Summit! Very proud to be part of it!,1
EITAwards winner Nerdalize &amp; ClimateKIC alumni start-up for free heating expands collaboration with Eneco 👌,-1
Dyma ragflas o beth i'w ddisgwyl o weithdy 'Dehongli newid hinsawdd yn greadigol' gyda martindaws a Gwenan_Griff yn ystod GlobalClimathon Bangor dydd Gwener yma yn PontioTweets Archebwch eich lle yma - prifysgolbangor ClimateKIC_UKI UNFCCC,0
RT EITeu The world needs more women entrepreneurs ! TheEconomist,1
"TVoltrelaTV frasisam al seminario TuttiMedia:""Andiamo oltre la TV ma comunque restiamo nella TV"". Media Company il futuro. EIT_Digital",1
Who knows what EBITDA means? PwC_Cy_Press HellenicBank GZGLawyers EvgeniosEvgenio Bert_Pijls irenageorgiadou Georgiades_H ClimateKIC,0
"Thanks InnoEnergyEU for TBB2016 ! Don't worry, be happy, storeenergy😍 Sylfen_fr",2
Rise and shine! Some impressions from a busy night developing ideas. Fotos: Rainer Freese ClimateKIC GlobalClimathon UrbanImpactBln ClimateKIC_DE Climathon2019 climathonberlin,-1
"Wind turbines manufactured from glued wood? Yes, we can! 💪 EITeu ClimateKIC start-up modvion is building prototypes to make this out-of-the-box vision a reality. Skogsaktuellt delves into the details of this astonishing project:",0
One of selected EnergySingularity OdysseyHack teams is composed of 6 EITeu InnoEnergyEU international students with diverse backgrounds studying the smartgrid and decarbonization with passion for decentralized P2P technology applications! Congrats!!,0
"Giovedì a Bologna torna legaltechforum, organizzato da kopjra con EIT_Digital e TIM Wcap",1
"Der große Tag rückt näher EIT_Digital EITeu EIT Food, Dr. Koenig, wird die Eröffnungsrede auf dem Global Food Summit halten. Am 29. &amp; 30. November in Berlin, gemeinsam mit der Uni Berkeley und Uni Wageningen. Innovation food gfs17",1
".EITeu ClimateKIC, in partnership with ABBgroupnews, will showcase its 6 finalists &amp; 24 more of its most promising cleantech ventures at SlushHQ during the finals of the Climate Impact Battle on 5 Dec. Reserve your spot now! Slush18 MissionFinance",-1
Orange jackets from Fortum busy at the ClimateKIC booth. Goal is to invest up to 200mill€ in energy startups in 2017 ckicslush,0
"This morning I had a talk on Innolabs_EU initiatives for smes &amp; startups in the field of digitalhealth together with ChiaraMajor EITeu Health regional manager. Hosted by the CNewsteel team, strongly supportive to empower our regional innovation ecosystem.",1
"A la recherche de nouvelles opportunités pour votre entreprise ? Assistez à notre prochain webinaire "" Financer son accès au marché avec le programme européen EIT_Digital "" 📅Mercredi 24 Juin ⏰14h Incrivez vous ici! ➡️",1
Nice but you sure also have a nice Climathon weather! Slightly different temperatures at the 6 Nordic climathon locations CKICNordic,-1
EU sets aside €4 million for ‘wild card’ healthtech ideas EITHealth EITHWILDCARD EITeu,1
