source,target,edge_type,weight,first_interaction,last_interaction
@EITClimatekic,@Climikiworks,mention,45,2023-01-15,2024-11-08
@EITClimatekic,@ecovativedesign,mention,23,2023-03-20,2024-10-15
@EITClimatekic,@EITeu,mention,67,2022-06-01,2024-11-01
@Climikiworks,@EITClimatekic,mention,38,2023-02-10,2024-11-08
@Climikiworks,@EITeu,mention,12,2023-05-15,2024-09-20
@EITDigital,@bitlovin,mention,34,2022-09-10,2024-11-02
@EITDigital,@merantix,mention,28,2023-01-20,2024-10-28
@EITDigital,@EITeu,mention,89,2022-01-05,2024-11-05
@bitlovin,@EITDigital,mention,29,2022-10-15,2024-11-02
@merantix,@EITDigital,mention,22,2023-02-28,2024-10-28
@EITHealth,@owaboratory,mention,41,2022-08-12,2024-10-22
@EITHealth,@SOPHiAGENETICS,mention,35,2022-07-20,2024-10-18
@EITHealth,@EITeu,mention,78,2022-03-15,2024-10-25
@owaboratory,@EITHealth,mention,36,2022-09-01,2024-10-22
@SOPHiAGENETICS,@EITHealth,mention,31,2022-08-05,2024-10-18
@InnoEnergy,@northabortvolt,mention,56,2022-01-10,2024-10-12
@InnoEnergy,@Skeleton_Tech,mention,32,2022-04-20,2024-10-08
@InnoEnergy,@EITeu,mention,92,2021-06-15,2024-10-15
@northabortvolt,@InnoEnergy,mention,48,2022-02-15,2024-10-12
@Skeleton_Tech,@InnoEnergy,mention,27,2022-05-10,2024-10-08
@EITFood,@infarm,mention,38,2022-11-20,2024-10-02
@EITFood,@MosaMeat,mention,42,2022-10-15,2024-09-28
@EITFood,@EITeu,mention,71,2022-04-01,2024-10-05
@infarm,@EITFood,mention,33,2022-12-01,2024-10-02
@MosaMeat,@EITFood,mention,37,2022-11-01,2024-09-28
@EITRawMaterials,@minviro,mention,24,2023-02-15,2024-09-22
@EITRawMaterials,@EITeu,mention,58,2022-05-10,2024-09-25
@minviro,@EITRawMaterials,mention,19,2023-03-20,2024-09-22
@EITManufacturing,@EITeu,mention,45,2022-08-01,2024-09-18
@EIT_Urban,@EITeu,mention,52,2022-07-15,2024-09-15
@EITCulture,@EITeu,mention,28,2023-06-01,2024-09-10
@EITeu,@EITClimatekic,mention,54,2022-01-01,2024-11-01
@EITeu,@EITDigital,mention,67,2022-01-01,2024-11-05
@EITeu,@EITHealth,mention,61,2022-01-01,2024-10-25
@EITeu,@InnoEnergy,mention,73,2022-01-01,2024-10-15
@EITeu,@EITFood,mention,48,2022-01-01,2024-10-05
@EITeu,@EITRawMaterials,mention,42,2022-01-01,2024-09-25
@EITeu,@EITManufacturing,mention,38,2022-01-01,2024-09-18
@EITeu,@EIT_Urban,mention,41,2022-01-01,2024-09-15
@EITeu,@EITCulture,mention,23,2023-01-01,2024-09-10
@EITClimatekic,@InnoEnergy,mention,18,2023-04-15,2024-08-20
@InnoEnergy,@EITClimatekic,mention,15,2023-05-01,2024-08-15
@EITHealth,@EITDigital,mention,12,2023-06-10,2024-07-22
@EITDigital,@EITHealth,mention,9,2023-07-01,2024-07-18
@northabortvolt,@Climikiworks,mention,8,2023-09-15,2024-06-20
@Climikiworks,@northabortvolt,mention,6,2023-10-01,2024-06-15
