metric,category,value,percentage,n
content_type,people,847,42.3,2003
content_type,technology,623,31.1,2003
content_type,nature,312,15.6,2003
content_type,abstract,221,11.0,2003
gender_coding,male_individual,312,15.6,2003
gender_coding,female_individual,234,11.7,2003
gender_coding,mixed_group,456,22.8,2003
gender_coding,partial,189,9.4,2003
gender_coding,non_adult,86,4.3,2003
gender_coding,not_applicable,726,36.2,2003
contact,demand,623,31.1,2003
contact,offer,1156,57.7,2003
contact,not_applicable,224,11.2,2003
distance,intimate,612,30.5,2003
distance,social,798,39.8,2003
distance,impersonal,593,29.6,2003
angle,eye_level,1234,61.6,2003
angle,low,312,15.6,2003
angle,high,234,11.7,2003
angle,oblique,223,11.1,2003
coding_orientation,naturalistic,934,46.6,2003
coding_orientation,sensory,567,28.3,2003
coding_orientation,technological,361,18.0,2003
coding_orientation,abstract,141,7.0,2003
dress_coding,professional,578,68.4,847
dress_coding,casual,196,23.2,847
dress_coding,medical_lab,71,8.4,847
ethnicity,caucasian_european,739,87.3,847
ethnicity,other,108,12.7,847
age,working_adult,789,93.2,847
age,non_adult,36,4.3,847
age,senior,22,2.6,847
