post_id,author_handle,author_name,kic,created_at,text,retweet_count,like_count,reply_count,mentions,hashtags
TW-2024-001,@EITClimatekic,Climate-KIC,Climate-KIC,2024-11-10T14:32:00Z,"Proud to announce that our portfolio companies have now raised over €10 billion! Together, we're accelerating the transition to a zero-carbon economy. #ClimateAction #Innovation",245,892,34,"",ClimateAction;Innovation
TW-2024-002,@Climikiworks,Climeworks,Climate-KIC,2024-11-08T09:15:00Z,"Our Mammoth plant in Iceland is now fully operational, removing 36,000 tonnes of CO2 per year. This is just the beginning. 🌍 #DirectAirCapture #ClimateAction @EITClimatekic",1834,5621,156,@EITClimatekic,DirectAirCapture;ClimateAction
TW-2024-003,@EITDigital,EIT Digital,EIT Digital,2024-11-05T11:20:00Z,"Congratulations to our 2024 accelerator cohort! 45 startups ready to scale their digital innovations across Europe. Applications for 2025 now open. #DeepTech #Startups",167,534,28,"",DeepTech;Startups
TW-2024-004,@bitlovin,Bitmovin,EIT Digital,2024-11-02T16:45:00Z,"Thrilled to be powering video delivery for 3 billion viewers worldwide. Thanks @EITDigital for the early support that helped us scale! #VideoTech",423,1256,45,@EITDigital,VideoTech
TW-2024-005,@merantix,Merantix,EIT Digital,2024-10-28T10:00:00Z,"We've just launched our 10th AI company from the Merantix ecosystem. AI is transforming every industry - we're here to build the companies making it happen. #AI #VentureStudio",312,987,67,"",AI;VentureStudio
TW-2024-006,@EITHealth,EIT Health,EIT Health,2024-10-25T13:30:00Z,"Health innovation saves lives. Our partners have brought 200+ innovations to market, reaching millions of patients across Europe. #HealthInnovation #EITHealth",198,723,42,"",HealthInnovation;EITHealth
TW-2024-007,@owaboratory,Owkin,EIT Health,2024-10-22T08:45:00Z,"Our federated learning platform now connects 200+ hospitals. Collaborating on AI research while protecting patient privacy. This is the future of medicine. @EITHealth",567,1845,89,@EITHealth,AI;FederatedLearning
TW-2024-008,@SOPHiAGENETICS,SOPHiA GENETICS,EIT Health,2024-10-18T15:20:00Z,"1 million patients analyzed on our platform. Every data point helps us understand disease better. Democratizing data-driven medicine, one patient at a time. #Genomics #Precision",389,1234,56,"",Genomics;Precision
TW-2024-009,@InnoEnergy,EIT InnoEnergy,EIT InnoEnergy,2024-10-15T12:00:00Z,"Europe's sustainable energy transition needs €3 trillion investment by 2030. We're backing the innovators making it happen. Our portfolio now valued at €100B+. #EnergyTransition",456,1567,78,"",EnergyTransition
TW-2024-010,@northabortvolt,Northvolt,EIT InnoEnergy,2024-10-12T09:30:00Z,"Built in Europe, for Europe. Our first 1 million battery cells shipped! Thank you @InnoEnergy for believing in us from day one. #BatteryRevolution #MadeInEurope",2345,7823,234,@InnoEnergy,BatteryRevolution;MadeInEurope
TW-2024-011,@Skeleton_Tech,Skeleton Technologies,EIT InnoEnergy,2024-10-08T14:15:00Z,"Ultracapacitors are key to fast charging and energy recovery. Our tech now powers buses, trams, and grid storage across 40 countries. #EnergyStorage @InnoEnergy",278,856,34,@InnoEnergy,EnergyStorage
TW-2024-012,@EITFood,EIT Food,EIT Food,2024-10-05T11:45:00Z,"The future of food is being built today. Our network of 90+ partners is transforming Europe's food system - more sustainable, more healthy, more trusted. #FoodInnovation",234,678,45,"",FoodInnovation
TW-2024-013,@infarm,Infarm,EIT Food,2024-10-02T08:00:00Z,"Growing fresh produce in cities, year-round. Our vertical farms use 95% less water than traditional agriculture. Thank you @EITFood for your support! #UrbanFarming #Sustainability",567,2134,89,@EITFood,UrbanFarming;Sustainability
TW-2024-014,@MosaMeat,Mosa Meat,EIT Food,2024-09-28T16:30:00Z,"Cultivated meat is real meat - just made better. No animal slaughter, 96% less land use, 80% less water. We're getting closer to market every day. #CultivatedMeat @EITFood",1234,4567,156,@EITFood,CultivatedMeat
TW-2024-015,@EITRawMaterials,EIT RawMaterials,EIT RawMaterials,2024-09-25T10:00:00Z,"Securing Europe's access to critical raw materials. Our 300+ partners are pioneering circular economy solutions for metals, minerals, and materials. #CircularEconomy #RawMaterials",145,456,23,"",CircularEconomy;RawMaterials
TW-2024-016,@minviro,Minviro,EIT RawMaterials,2024-09-22T13:20:00Z,"Life cycle assessment shouldn't be an afterthought. Our software helps miners and battery makers measure and reduce their environmental footprint. @EITRawMaterials #LCA #Mining",189,623,34,@EITRawMaterials,LCA;Mining
TW-2024-017,@EITManufacturing,EIT Manufacturing,EIT Manufacturing,2024-09-18T09:45:00Z,"Industry 4.0 is here. Our partners are building the factories of the future - automated, sustainable, and human-centred. Join us in reshaping European manufacturing. #Industry40",178,534,28,"",Industry40
TW-2024-018,@EIT_Urban,EIT Urban Mobility,EIT Urban Mobility,2024-09-15T14:00:00Z,"Cities need mobility solutions that work for everyone. We're helping 50+ European cities design sustainable transport systems. #UrbanMobility #SmartCities",167,489,34,"",UrbanMobility;SmartCities
TW-2024-019,@EITCulture,EIT Culture & Creativity,EIT Culture & Creativity,2024-09-10T11:30:00Z,"Creativity drives innovation. As the newest @EITeu community, we're supporting Europe's cultural and creative sectors to grow and thrive. #CreativeIndustries #Innovation",134,345,23,@EITeu,CreativeIndustries;Innovation
TW-2024-020,@EITeu,EIT,All,2024-09-05T10:00:00Z,"15 years of European innovation. 8 Knowledge & Innovation Communities. 4,000+ startups supported. €3B+ raised by our entrepreneurs. Here's to the next 15! #EIT15 #Innovation",678,2345,123,"",EIT15;Innovation
