article_id,title,authors,journal,year,abstract,keywords,citations
DOI-2023-001,"Innovation intermediaries in sustainability transitions: A systematic review","Kivimaa P; Boon W; Hyysalo S; Klerkx L",Research Policy,2019,"This paper reviews the role of intermediaries in sustainability transitions. We identify five types of intermediary activities and their functions in transition processes.",intermediaries;transitions;innovation;sustainability,892
DOI-2023-002,"The role of actors in transitions: Insights from sociological theories","Wittmayer J; Avelino F; van Steenbergen F; Loorbach D",Environmental Innovation and Societal Transitions,2017,"We develop a framework for analyzing actor roles in transitions drawing on sociological role theory and transitions research.",roles;actors;transitions;sociology,567
DOI-2023-003,"Knowledge and Innovation Communities: The role of the EIT","Jones C; Smith R",Journal of Technology Transfer,2021,"This study examines how EIT Knowledge and Innovation Communities facilitate knowledge transfer and innovation across Europe.",EIT;knowledge transfer;innovation ecosystems,234
DOI-2023-004,"Mapping innovation ecosystems: A network approach","Basole R; Park H; Barnett B",Research Policy,2019,"We use network analysis and text mining to map the structure of innovation ecosystems from venture data.",innovation ecosystems;networks;text analysis,445
DOI-2023-005,"Complex adaptive systems and sustainability transitions","Rotmans J; Loorbach D",International Journal of Sustainability in Higher Education,2009,"We argue that sustainability transitions can be understood as processes in complex adaptive systems.",complexity;transitions;sustainability;systems,1234
DOI-2023-006,"Visual social semiotics: A Hallidayan approach","Kress G; van Leeuwen T",Visual Communication,2006,"We develop a grammar of visual design based on Halliday's systemic functional linguistics.",visual semiotics;multimodality;grammar,3456
DOI-2023-007,"Power in discourse: The case of innovation policy","Fairclough N",Discourse & Society,2018,"This paper examines how power relations are constructed through discourse in innovation policy contexts.",discourse;power;policy;CDA,678
DOI-2023-008,"Connotation frames: A data-driven investigation","Sap M; Prasettio M; Holber A; Rashkin H; Choi Y",ACL Proceedings,2017,"We introduce connotation frames that capture subtle implications about power and agency in text.",NLP;connotation;power;agency,445
DOI-2023-009,"RIVETER: Measuring power and agency in text","Antoniak M; Mimno D; Levy K",EMNLP Proceedings,2023,"We present RIVETER, a Python package for analyzing power and agency dimensions in text using verb connotations.",NLP;power;agency;text analysis,89
DOI-2023-010,"BERTopic: Neural topic modeling","Grootendorst M",arXiv,2022,"BERTopic is a topic modeling technique that leverages BERT embeddings and class-based TF-IDF.",topic modeling;BERT;NLP,567
